+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|              2493 | 99 |   RUNNING |   WAITING |
|              2493 |  8 |     READY |   RUNNING |
|              2505 | 99 |   WAITING |     READY |
|              2533 |  8 |   RUNNING |   WAITING |
|              2533 | 98 |     READY |   RUNNING |
|              2544 |  8 |   WAITING |     READY |
|              2590 | 98 |   RUNNING |   WAITING |
|              2590 | 41 |     READY |   RUNNING |
|              2605 | 98 |   WAITING |     READY |
|              2650 | 41 |   RUNNING |   WAITING |
|              2650 | 19 |     READY |   RUNNING |
|              2667 | 41 |   WAITING |     READY |
|              2710 | 19 |   RUNNING |   WAITING |
|              2710 | 99 |     READY |   RUNNING |
|              2722 | 19 |   WAITING |     READY |
|              2758 | 99 |   RUNNING |   WAITING |
|              2758 |  8 |     READY |   RUNNING |
|              2770 | 99 |   WAITING |     READY |
|              2798 |  8 |   RUNNING |   WAITING |
|              2798 | 98 |     READY |   RUNNING |
|              2809 |  8 |   WAITING |     READY |
|              2855 | 98 |   RUNNING |   WAITING |
|              2855 | 41 |     READY |   RUNNING |
|              2870 | 98 |   WAITING |     READY |
|              2915 | 41 |   RUNNING |   WAITING |
|              2915 | 19 |     READY |   RUNNING |
|              2932 | 41 |   WAITING |     READY |
|              2975 | 19 |   RUNNING |   WAITING |
|              2975 | 99 |     READY |   RUNNING |
|              2987 | 19 |   WAITING |     READY |
|              3023 | 99 |   RUNNING |   WAITING |
|              3023 |  8 |     READY |   RUNNING |
|              3035 | 99 |   WAITING |     READY |
|              3063 |  8 |   RUNNING |   WAITING |
|              3063 | 98 |     READY |   RUNNING |
|              3074 |  8 |   WAITING |     READY |
|              3120 | 98 |   RUNNING |   WAITING |
|              3120 | 41 |     READY |   RUNNING |
|              3135 | 98 |   WAITING |     READY |
|              3180 | 41 |   RUNNING |   WAITING |
|              3180 | 19 |     READY |   RUNNING |
|              3197 | 41 |   WAITING |     READY |
|              3240 | 19 |   RUNNING |   WAITING |
|              3240 | 99 |     READY |   RUNNING |
|              3252 | 19 |   WAITING |     READY |
|              3288 | 99 |   RUNNING |   WAITING |
|              3288 |  8 |     READY |   RUNNING |
|              3300 | 99 |   WAITING |     READY |
|              3328 |  8 |   RUNNING |   WAITING |
|              3328 | 98 |     READY |   RUNNING |
|              3339 |  8 |   WAITING |     READY |
|              3385 | 98 |   RUNNING |   WAITING |
|              3385 | 41 |     READY |   RUNNING |
|              3400 | 98 |   WAITING |     READY |
|              3445 | 41 |   RUNNING |   WAITING |
|              3445 | 19 |     READY |   RUNNING |
|              3462 | 41 |   WAITING |     READY |
|              3505 | 19 |   RUNNING |   WAITING |
|              3505 | 99 |     READY |   RUNNING |
|              3517 | 19 |   WAITING |     READY |
|              3553 | 99 |   RUNNING |   WAITING |
|              3553 |  8 |     READY |   RUNNING |
|              3565 | 99 |   WAITING |     READY |
|              3593 |  8 |   RUNNING |   WAITING |
|              3593 | 98 |     READY |   RUNNING |
|              3604 |  8 |   WAITING |     READY |
|              3650 | 98 |   RUNNING |   WAITING |
|              3650 | 41 |     READY |   RUNNING |
|              3665 | 98 |   WAITING |     READY |
|              3675 | 41 |   RUNNING |TERMINATED |
|              3675 | 19 |     READY |   RUNNING |
|              3735 | 19 |   RUNNING |   WAITING |
|              3735 | 99 |     READY |   RUNNING |
|              3747 | 19 |   WAITING |     READY |
|              3783 | 99 |   RUNNING |   WAITING |
|              3783 |  8 |     READY |   RUNNING |
|              3795 | 99 |   WAITING |     READY |
|              3823 |  8 |   RUNNING |   WAITING |
|              3823 | 98 |     READY |   RUNNING |
|              3834 |  8 |   WAITING |     READY |
|              3880 | 98 |   RUNNING |   WAITING |
|              3880 | 19 |     READY |   RUNNING |
|              3895 | 98 |   WAITING |     READY |
|              3940 | 19 |   RUNNING |   WAITING |
|              3940 | 99 |     READY |   RUNNING |
|              3952 | 19 |   WAITING |     READY |
|              3988 | 99 |   RUNNING |   WAITING |
|              3988 |  8 |     READY |   RUNNING |
|              4000 | 99 |   WAITING |     READY |
|              4028 |  8 |   RUNNING |   WAITING |
|              4028 | 98 |     READY |   RUNNING |
|              4039 |  8 |   WAITING |     READY |
|              4085 | 98 |   RUNNING |   WAITING |
|              4085 | 19 |     READY |   RUNNING |
|              4100 | 98 |   WAITING |     READY |
|              4145 | 19 |   RUNNING |   WAITING |
|              4145 | 99 |     READY |   RUNNING |
|              4157 | 19 |   WAITING |     READY |
|              4193 | 99 |   RUNNING |   WAITING |
|              4193 |  8 |     READY |   RUNNING |
|              4205 | 99 |   WAITING |     READY |
|              4233 |  8 |   RUNNING |   WAITING |
|              4233 | 98 |     READY |   RUNNING |
|              4244 |  8 |   WAITING |     READY |
|              4290 | 98 |   RUNNING |   WAITING |
|              4290 | 19 |     READY |   RUNNING |
|              4305 | 98 |   WAITING |     READY |
|              4326 | 19 |   RUNNING |TERMINATED |
|              4326 | 99 |     READY |   RUNNING |
|              4374 | 99 |   RUNNING |   WAITING |
|              4374 |  8 |     READY |   RUNNING |
|              4386 | 99 |   WAITING |     READY |
|              4414 |  8 |   RUNNING |   WAITING |
|              4414 | 98 |     READY |   RUNNING |
|              4418 | 98 |   RUNNING |TERMINATED |
|              4418 | 99 |     READY |   RUNNING |
|              4425 |  8 |   WAITING |     READY |
|              4466 | 99 |   RUNNING |   WAITING |
|              4466 |  8 |     READY |   RUNNING |
|              4478 | 99 |   WAITING |     READY |
|              4506 |  8 |   RUNNING |   WAITING |
|              4506 | 99 |     READY |   RUNNING |
|              4517 |  8 |   WAITING |     READY |
|              4554 | 99 |   RUNNING |   WAITING |
|              4554 |  8 |     READY |   RUNNING |
|              4566 | 99 |   WAITING |     READY |
|              4594 |  8 |   RUNNING |   WAITING |
|              4594 | 99 |     READY |   RUNNING |
|              4595 | 99 |   RUNNING |TERMINATED |
|              4605 |  8 |   WAITING |     READY |
|              4605 |  8 |     READY |   RUNNING |
|              4645 |  8 |   RUNNING |   WAITING |
