+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 75 |       NEW |     READY |
|                 0 | 75 |     READY |   RUNNING |
|                 1 | 96 |       NEW |     READY |
|                 6 | 50 |       NEW |     READY |
|                34 | 61 |       NEW |     READY |
|                45 | 55 |       NEW |     READY |
|                78 | 21 |       NEW |     READY |
|               100 | 75 |   RUNNING |     READY |
|               100 | 21 |     READY |   RUNNING |
|               200 | 21 |   RUNNING |     READY |
|               200 | 21 |     READY |   RUNNING |
|               300 | 21 |   RUNNING |     READY |
|               300 | 21 |     READY |   RUNNING |
|               400 | 21 |   RUNNING |     READY |
|               400 | 21 |     READY |   RUNNING |
|               500 | 21 |   RUNNING |     READY |
|               500 | 21 |     READY |   RUNNING |
|               600 | 21 |   RUNNING |     READY |
|               600 | 21 |     READY |   RUNNING |
|               606 | 21 |   RUNNING |   WAITING |
|               606 | 50 |     READY |   RUNNING |
|               706 | 50 |   RUNNING |     READY |
|               706 | 50 |     READY |   RUNNING |
|               806 | 50 |   RUNNING |     READY |
|               806 | 50 |     READY |   RUNNING |
|               819 | 21 |   WAITING |     READY |
|               906 | 50 |   RUNNING |     READY |
|               906 | 21 |     READY |   RUNNING |
|              1006 | 21 |   RUNNING |     READY |
|              1006 | 21 |     READY |   RUNNING |
|              1106 | 21 |   RUNNING |     READY |
|              1106 | 21 |     READY |   RUNNING |
|              1131 | 21 |   RUNNING |TERMINATED |
|              1131 | 50 |     READY |   RUNNING |
|              1175 | 50 |   RUNNING |   WAITING |
|              1175 | 55 |     READY |   RUNNING |
|              1275 | 55 |   RUNNING |     READY |
|              1275 | 55 |     READY |   RUNNING |
|              1375 | 55 |   RUNNING |     READY |
|              1375 | 55 |     READY |   RUNNING |
|              1404 | 50 |   WAITING |     READY |
|              1425 | 55 |   RUNNING |   WAITING |
|              1425 | 50 |     READY |   RUNNING |
|              1482 | 55 |   WAITING |     READY |
|              1525 | 50 |   RUNNING |     READY |
|              1525 | 50 |     READY |   RUNNING |
|              1625 | 50 |   RUNNING |     READY |
|              1625 | 50 |     READY |   RUNNING |
|              1681 | 50 |   RUNNING |TERMINATED |
|              1681 | 55 |     READY |   RUNNING |
|              1781 | 55 |   RUNNING |     READY |
|              1781 | 55 |     READY |   RUNNING |
|              1881 | 55 |   RUNNING |     READY |
|              1881 | 55 |     READY |   RUNNING |
|              1931 | 55 |   RUNNING |   WAITING |
|              1931 | 61 |     READY |   RUNNING |
|              1988 | 55 |   WAITING |     READY |
|              2031 | 61 |   RUNNING |     READY |
|              2031 | 55 |     READY |   RUNNING |
|              2131 | 55 |   RUNNING |     READY |
|              2131 | 55 |     READY |   RUNNING |
|              2231 | 55 |   RUNNING |     READY |
