+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 41 |       NEW |     READY |
|                 0 | 41 |     READY |   RUNNING |
|                23 | 99 |       NEW |     READY |
|                33 |  8 |       NEW |     READY |
|                59 | 98 |       NEW |     READY |
|                60 | 41 |   RUNNING |   WAITING |
|                60 |  8 |     READY |   RUNNING |
|                77 | 41 |   WAITING |     READY |
|                80 | 19 |       NEW |     READY |
|               100 |  8 |   RUNNING |   WAITING |
|               100 | 19 |     READY |   RUNNING |
|               111 |  8 |   WAITING |     READY |
|               160 | 19 |   RUNNING |   WAITING |
|               160 |  8 |     READY |   RUNNING |
|               172 | 19 |   WAITING |     READY |
|               200 |  8 |   RUNNING |   WAITING |
|               200 | 19 |     READY |   RUNNING |
|               211 |  8 |   WAITING |     READY |
|               260 | 19 |   RUNNING |   WAITING |
|               260 |  8 |     READY |   RUNNING |
|               272 | 19 |   WAITING |     READY |
|               300 |  8 |   RUNNING |   WAITING |
|               300 | 19 |     READY |   RUNNING |
|               311 |  8 |   WAITING |     READY |
|               360 | 19 |   RUNNING |   WAITING |
|               360 |  8 |     READY |   RUNNING |
|               372 | 19 |   WAITING |     READY |
|               400 |  8 |   RUNNING |   WAITING |
|               400 | 19 |     READY |   RUNNING |
|               411 |  8 |   WAITING |     READY |
|               460 | 19 |   RUNNING |   WAITING |
|               460 |  8 |     READY |   RUNNING |
|               472 | 19 |   WAITING |     READY |
|               500 |  8 |   RUNNING |   WAITING |
|               500 | 19 |     READY |   RUNNING |
|               511 |  8 |   WAITING |     READY |
|               560 | 19 |   RUNNING |   WAITING |
|               560 |  8 |     READY |   RUNNING |
|               572 | 19 |   WAITING |     READY |
|               600 |  8 |   RUNNING |   WAITING |
|               600 | 19 |     READY |   RUNNING |
|               611 |  8 |   WAITING |     READY |
|               660 | 19 |   RUNNING |   WAITING |
|               660 |  8 |     READY |   RUNNING |
|               672 | 19 |   WAITING |     READY |
|               700 |  8 |   RUNNING |   WAITING |
|               700 | 19 |     READY |   RUNNING |
|               711 |  8 |   WAITING |     READY |
|               760 | 19 |   RUNNING |   WAITING |
|               760 |  8 |     READY |   RUNNING |
|               772 | 19 |   WAITING |     READY |
|               800 |  8 |   RUNNING |   WAITING |
|               800 | 19 |     READY |   RUNNING |
|               811 |  8 |   WAITING |     READY |
|               860 | 19 |   RUNNING |   WAITING |
|               860 |  8 |     READY |   RUNNING |
|               872 | 19 |   WAITING |     READY |
|               900 |  8 |   RUNNING |   WAITING |
|               900 | 19 |     READY |   RUNNING |
|               911 |  8 |   WAITING |     READY |
|               960 | 19 |   RUNNING |   WAITING |
|               960 |  8 |     READY |   RUNNING |
|               972 | 19 |   WAITING |     READY |
|              1000 |  8 |   RUNNING |   WAITING |
|              1000 | 19 |     READY |   RUNNING |
|              1011 |  8 |   WAITING |     READY |
|              1060 | 19 |   RUNNING |   WAITING |
|              1060 |  8 |     READY |   RUNNING |
|              1072 | 19 |   WAITING |     READY |
|              1100 |  8 |   RUNNING |   WAITING |
|              1100 | 19 |     READY |   RUNNING |
|              1111 |  8 |   WAITING |     READY |
|              1160 | 19 |   RUNNING |   WAITING |
|              1160 |  8 |     READY |   RUNNING |
|              1172 | 19 |   WAITING |     READY |
|              1200 |  8 |   RUNNING |   WAITING |
|              1200 | 19 |     READY |   RUNNING |
|              1211 |  8 |   WAITING |     READY |
|              1260 | 19 |   RUNNING |   WAITING |
|              1260 |  8 |     READY |   RUNNING |
|              1272 | 19 |   WAITING |     READY |
|              1300 |  8 |   RUNNING |   WAITING |
|              1300 | 19 |     READY |   RUNNING |
|              1311 |  8 |   WAITING |     READY |
|              1360 | 19 |   RUNNING |   WAITING |
|              1360 |  8 |     READY |   RUNNING |
|              1372 | 19 |   WAITING |     READY |
|              1400 |  8 |   RUNNING |   WAITING |
|              1400 | 19 |     READY |   RUNNING |
|              1411 |  8 |   WAITING |     READY |
|              1460 | 19 |   RUNNING |   WAITING |
|              1460 |  8 |     READY |   RUNNING |
|              1472 | 19 |   WAITING |     READY |
|              1500 |  8 |   RUNNING |   WAITING |
|              1500 | 19 |     READY |   RUNNING |
|              1511 |  8 |   WAITING |     READY |
