+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 31 |       NEW |     READY |
|                 0 | 75 |       NEW |     READY |
|                 0 | 31 |     READY |   RUNNING |
|                 1 | 96 |       NEW |     READY |
|                34 | 61 |       NEW |     READY |
|                43 | 73 |       NEW |     READY |
|                50 | 31 |   RUNNING |   WAITING |
|                50 | 75 |     READY |   RUNNING |
|                62 | 31 |   WAITING |     READY |
|               102 | 75 |   RUNNING |   WAITING |
|               102 | 96 |     READY |   RUNNING |
|               119 | 75 |   WAITING |     READY |
|               201 | 96 |   RUNNING |   WAITING |
|               201 | 61 |     READY |   RUNNING |
|               220 | 96 |   WAITING |     READY |
|               301 | 61 |   RUNNING |     READY |
|               301 | 73 |     READY |   RUNNING |
|               401 | 73 |   RUNNING |     READY |
|               401 | 31 |     READY |   RUNNING |
|               451 | 31 |   RUNNING |   WAITING |
|               451 | 75 |     READY |   RUNNING |
|               463 | 31 |   WAITING |     READY |
|               503 | 75 |   RUNNING |   WAITING |
|               503 | 96 |     READY |   RUNNING |
|               520 | 75 |   WAITING |     READY |
|               602 | 96 |   RUNNING |   WAITING |
|               602 | 61 |     READY |   RUNNING |
|               621 | 96 |   WAITING |     READY |
|               629 | 61 |   RUNNING |   WAITING |
|               629 | 73 |     READY |   RUNNING |
|               655 | 61 |   WAITING |     READY |
|               681 | 73 |   RUNNING |   WAITING |
|               681 | 31 |     READY |   RUNNING |
|               718 | 73 |   WAITING |     READY |
|               731 | 31 |   RUNNING |   WAITING |
|               731 | 75 |     READY |   RUNNING |
|               743 | 31 |   WAITING |     READY |
|               783 | 75 |   RUNNING |   WAITING |
|               783 | 96 |     READY |   RUNNING |
|               800 | 75 |   WAITING |     READY |
|               882 | 96 |   RUNNING |   WAITING |
|               882 | 61 |     READY |   RUNNING |
|               901 | 96 |   WAITING |     READY |
|               982 | 61 |   RUNNING |     READY |
|               982 | 73 |     READY |   RUNNING |
|              1082 | 73 |   RUNNING |     READY |
|              1082 | 31 |     READY |   RUNNING |
|              1132 | 31 |   RUNNING |   WAITING |
|              1132 | 75 |     READY |   RUNNING |
|              1144 | 31 |   WAITING |     READY |
|              1184 | 75 |   RUNNING |   WAITING |
|              1184 | 96 |     READY |   RUNNING |
|              1201 | 75 |   WAITING |     READY |
|              1283 | 96 |   RUNNING |   WAITING |
|              1283 | 61 |     READY |   RUNNING |
|              1302 | 96 |   WAITING |     READY |
|              1310 | 61 |   RUNNING |   WAITING |
|              1310 | 73 |     READY |   RUNNING |
|              1336 | 61 |   WAITING |     READY |
|              1362 | 73 |   RUNNING |   WAITING |
|              1362 | 31 |     READY |   RUNNING |
|              1399 | 73 |   WAITING |     READY |
|              1412 | 31 |   RUNNING |   WAITING |
|              1412 | 75 |     READY |   RUNNING |
|              1424 | 31 |   WAITING |     READY |
|              1464 | 75 |   RUNNING |   WAITING |
|              1464 | 96 |     READY |   RUNNING |
|              1481 | 75 |   WAITING |     READY |
|              1563 | 96 |   RUNNING |   WAITING |
|              1563 | 61 |     READY |   RUNNING |
|              1582 | 96 |   WAITING |     READY |
|              1663 | 61 |   RUNNING |     READY |
|              1663 | 73 |     READY |   RUNNING |
|              1763 | 73 |   RUNNING |     READY |
|              1763 | 31 |     READY |   RUNNING |
|              1813 | 31 |   RUNNING |   WAITING |
|              1813 | 75 |     READY |   RUNNING |
|              1825 | 31 |   WAITING |     READY |
|              1865 | 75 |   RUNNING |   WAITING |
|              1865 | 96 |     READY |   RUNNING |
|              1882 | 75 |   WAITING |     READY |
|              1964 | 96 |   RUNNING |   WAITING |
|              1964 | 61 |     READY |   RUNNING |
|              1983 | 96 |   WAITING |     READY |
|              1991 | 61 |   RUNNING |   WAITING |
|              1991 | 73 |     READY |   RUNNING |
|              2017 | 61 |   WAITING |     READY |
|              2043 | 73 |   RUNNING |   WAITING |
|              2043 | 31 |     READY |   RUNNING |
|              2080 | 73 |   WAITING |     READY |
|              2093 | 31 |   RUNNING |   WAITING |
|              2093 | 75 |     READY |   RUNNING |
|              2105 | 31 |   WAITING |     READY |
|              2145 | 75 |   RUNNING |   WAITING |
|              2145 | 96 |     READY |   RUNNING |
|              2162 | 75 |   WAITING |     READY |
|              2244 | 96 |   RUNNING |   WAITING |
|              2244 | 61 |     READY |   RUNNING |
|              2263 | 96 |   WAITING |     READY |
|              2344 | 61 |   RUNNING |     READY |
|              2344 | 73 |     READY |   RUNNING |
|              2444 | 73 |   RUNNING |     READY |
|              2444 | 31 |     READY |   RUNNING |
|              2494 | 31 |   RUNNING |   WAITING |
|              2494 | 75 |     READY |   RUNNING |
|              2506 | 31 |   WAITING |     READY |
|              2546 | 75 |   RUNNING |   WAITING |
|              2546 | 96 |     READY |   RUNNING |
|              2563 | 75 |   WAITING |     READY |
|              2645 | 96 |   RUNNING |   WAITING |
|              2645 | 61 |     READY |   RUNNING |
|              2664 | 96 |   WAITING |     READY |
|              2672 | 61 |   RUNNING |   WAITING |
|              2672 | 73 |     READY |   RUNNING |
|              2698 | 61 |   WAITING |     READY |
|              2724 | 73 |   RUNNING |   WAITING |
|              2724 | 31 |     READY |   RUNNING |
|              2761 | 73 |   WAITING |     READY |
|              2774 | 31 |   RUNNING |   WAITING |
|              2774 | 75 |     READY |   RUNNING |
|              2786 | 31 |   WAITING |     READY |
|              2826 | 75 |   RUNNING |   WAITING |
|              2826 | 96 |     READY |   RUNNING |
|              2843 | 75 |   WAITING |     READY |
|              2925 | 96 |   RUNNING |   WAITING |
|              2925 | 61 |     READY |   RUNNING |
|              2944 | 96 |   WAITING |     READY |
|              3025 | 61 |   RUNNING |     READY |
|              3025 | 73 |     READY |   RUNNING |
|              3125 | 73 |   RUNNING |     READY |
|              3125 | 31 |     READY |   RUNNING |
|              3175 | 31 |   RUNNING |   WAITING |
|              3175 | 75 |     READY |   RUNNING |
|              3187 | 31 |   WAITING |     READY |
|              3227 | 75 |   RUNNING |   WAITING |
|              3227 | 96 |     READY |   RUNNING |
|              3244 | 75 |   WAITING |     READY |
|              3272 | 96 |   RUNNING |TERMINATED |
|              3272 | 61 |     READY |   RUNNING |
|              3273 | 50 |       NEW |     READY |
|              3299 | 61 |   RUNNING |   WAITING |
|              3299 | 73 |     READY |   RUNNING |
|              3325 | 61 |   WAITING |     READY |
|              3351 | 73 |   RUNNING |   WAITING |
|              3351 | 31 |     READY |   RUNNING |
|              3388 | 73 |   WAITING |     READY |
|              3401 | 31 |   RUNNING |   WAITING |
|              3401 | 75 |     READY |   RUNNING |
|              3413 | 31 |   WAITING |     READY |
|              3453 | 75 |   RUNNING |   WAITING |
|              3453 | 50 |     READY |   RUNNING |
|              3470 | 75 |   WAITING |     READY |
|              3553 | 50 |   RUNNING |     READY |
|              3553 | 61 |     READY |   RUNNING |
|              3639 | 61 |   RUNNING |TERMINATED |
|              3639 | 73 |     READY |   RUNNING |
|              3739 | 73 |   RUNNING |     READY |
|              3739 | 31 |     READY |   RUNNING |
|              3789 | 31 |   RUNNING |   WAITING |
|              3789 | 75 |     READY |   RUNNING |
|              3801 | 31 |   WAITING |     READY |
