+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|              3171 | 50 |   RUNNING |TERMINATED |
|              3171 | 73 |     READY |   RUNNING |
|              3176 | 73 |   RUNNING |TERMINATED |
|              3176 | 75 |     READY |   RUNNING |
|              3228 | 75 |   RUNNING |   WAITING |
|              3228 | 96 |     READY |   RUNNING |
|              3245 | 75 |   WAITING |     READY |
|              3327 | 96 |   RUNNING |   WAITING |
|              3327 | 75 |     READY |   RUNNING |
|              3346 | 96 |   WAITING |     READY |
|              3379 | 75 |   RUNNING |   WAITING |
|              3379 | 96 |     READY |   RUNNING |
|              3396 | 75 |   WAITING |     READY |
|              3478 | 96 |   RUNNING |   WAITING |
|              3478 | 75 |     READY |   RUNNING |
|              3497 | 96 |   WAITING |     READY |
|              3530 | 75 |   RUNNING |   WAITING |
|              3530 | 96 |     READY |   RUNNING |
|              3547 | 75 |   WAITING |     READY |
|              3629 | 96 |   RUNNING |   WAITING |
|              3629 | 75 |     READY |   RUNNING |
|              3648 | 96 |   WAITING |     READY |
|              3681 | 75 |   RUNNING |   WAITING |
|              3681 | 96 |     READY |   RUNNING |
|              3698 | 75 |   WAITING |     READY |
|              3780 | 96 |   RUNNING |   WAITING |
|              3780 | 75 |     READY |   RUNNING |
|              3799 | 96 |   WAITING |     READY |
|              3832 | 75 |   RUNNING |   WAITING |
|              3832 | 96 |     READY |   RUNNING |
|              3849 | 75 |   WAITING |     READY |
|              3931 | 96 |   RUNNING |   WAITING |
|              3931 | 75 |     READY |   RUNNING |
|              3950 | 96 |   WAITING |     READY |
|              3983 | 75 |   RUNNING |   WAITING |
|              3983 | 96 |     READY |   RUNNING |
|              4000 | 75 |   WAITING |     READY |
|              4082 | 96 |   RUNNING |   WAITING |
|              4082 | 75 |     READY |   RUNNING |
|              4101 | 96 |   WAITING |     READY |
|              4134 | 75 |   RUNNING |   WAITING |
|              4134 | 96 |     READY |   RUNNING |
|              4151 | 75 |   WAITING |     READY |
|              4233 | 96 |   RUNNING |   WAITING |
|              4233 | 75 |     READY |   RUNNING |
|              4252 | 96 |   WAITING |     READY |
|              4285 | 75 |   RUNNING |   WAITING |
|              4285 | 96 |     READY |   RUNNING |
|              4302 | 75 |   WAITING |     READY |
|              4384 | 96 |   RUNNING |   WAITING |
|              4384 | 75 |     READY |   RUNNING |
|              4403 | 96 |   WAITING |     READY |
|              4436 | 75 |   RUNNING |   WAITING |
|              4436 | 96 |     READY |   RUNNING |
|              4453 | 75 |   WAITING |     READY |
|              4535 | 96 |   RUNNING |   WAITING |
|              4535 | 75 |     READY |   RUNNING |
|              4554 | 96 |   WAITING |     READY |
|              4587 | 75 |   RUNNING |   WAITING |
|              4587 | 96 |     READY |   RUNNING |
|              4604 | 75 |   WAITING |     READY |
|              4632 | 96 |   RUNNING |TERMINATED |
|              4632 | 75 |     READY |   RUNNING |
|              4684 | 75 |   RUNNING |   WAITING |
|              4701 | 75 |   WAITING |     READY |
|              4701 | 75 |     READY |   RUNNING |
|              4753 | 75 |   RUNNING |   WAITING |
|              4770 | 75 |   WAITING |     READY |
|              4770 | 75 |     READY |   RUNNING |
|              4822 | 75 |   RUNNING |   WAITING |
|              4839 | 75 |   WAITING |     READY |
|              4839 | 75 |     READY |   RUNNING |
|              4851 | 75 |   RUNNING |TERMINATED |
+------------------------------------------------+
Throughput: 4851
Average response time: 1606.500000
Average turnaround time: 3152.166748
Average wait time: 2152.166748
