+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 75 |       NEW |     READY |
|                 0 | 75 |     READY |   RUNNING |
|                 1 | 96 |       NEW |     READY |
|                 6 | 50 |       NEW |     READY |
|                34 | 61 |       NEW |     READY |
|                45 | 55 |       NEW |     READY |
|                78 | 21 |       NEW |     READY |
|               100 | 75 |   RUNNING |     READY |
|               100 | 96 |     READY |   RUNNING |
|               200 | 96 |   RUNNING |     READY |
|               200 | 50 |     READY |   RUNNING |
|               300 | 50 |   RUNNING |     READY |
|               300 | 61 |     READY |   RUNNING |
|               400 | 61 |   RUNNING |     READY |
|               400 | 55 |     READY |   RUNNING |
|               500 | 55 |   RUNNING |     READY |
|               500 | 21 |     READY |   RUNNING |
|               600 | 21 |   RUNNING |     READY |
|               600 | 75 |     READY |   RUNNING |
|               655 | 75 |   RUNNING |   WAITING |
|               655 | 96 |     READY |   RUNNING |
|               702 | 75 |   WAITING |     READY |
|               755 | 96 |   RUNNING |     READY |
|               755 | 50 |     READY |   RUNNING |
|               855 | 50 |   RUNNING |     READY |
|               855 | 61 |     READY |   RUNNING |
|               955 | 61 |   RUNNING |     READY |
|               955 | 55 |     READY |   RUNNING |
|              1055 | 55 |   RUNNING |     READY |
|              1055 | 21 |     READY |   RUNNING |
|              1155 | 21 |   RUNNING |     READY |
|              1155 | 75 |     READY |   RUNNING |
|              1255 | 75 |   RUNNING |     READY |
|              1255 | 96 |     READY |   RUNNING |
|              1355 | 96 |   RUNNING |     READY |
|              1355 | 50 |     READY |   RUNNING |
|              1455 | 50 |   RUNNING |     READY |
|              1455 | 61 |     READY |   RUNNING |
|              1555 | 61 |   RUNNING |     READY |
|              1555 | 55 |     READY |   RUNNING |
|              1605 | 55 |   RUNNING |   WAITING |
|              1605 | 21 |     READY |   RUNNING |
|              1662 | 55 |   WAITING |     READY |
|              1705 | 21 |   RUNNING |     READY |
|              1705 | 75 |     READY |   RUNNING |
|              1760 | 75 |   RUNNING |   WAITING |
|              1760 | 96 |     READY |   RUNNING |
|              1807 | 75 |   WAITING |     READY |
|              1840 | 96 |   RUNNING |   WAITING |
|              1840 | 50 |     READY |   RUNNING |
|              1884 | 50 |   RUNNING |   WAITING |
|              1884 | 61 |     READY |   RUNNING |
|              1916 | 96 |   WAITING |     READY |
|              1984 | 61 |   RUNNING |     READY |
|              1984 | 55 |     READY |   RUNNING |
|              2084 | 55 |   RUNNING |     READY |
|              2084 | 21 |     READY |   RUNNING |
|              2113 | 50 |   WAITING |     READY |
|              2184 | 21 |   RUNNING |     READY |
|              2184 | 75 |     READY |   RUNNING |
|              2284 | 75 |   RUNNING |     READY |
|              2284 | 96 |     READY |   RUNNING |
