+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|              3673 | 50 |     READY |   RUNNING |
|              3690 | 75 |   WAITING |     READY |
|              3748 | 50 |   RUNNING |TERMINATED |
|              3748 | 75 |     READY |   RUNNING |
|              3800 | 75 |   RUNNING |   WAITING |
|              3800 | 96 |     READY |   RUNNING |
|              3817 | 75 |   WAITING |     READY |
|              3899 | 96 |   RUNNING |   WAITING |
|              3899 | 75 |     READY |   RUNNING |
|              3918 | 96 |   WAITING |     READY |
|              3951 | 75 |   RUNNING |   WAITING |
|              3951 | 96 |     READY |   RUNNING |
|              3968 | 75 |   WAITING |     READY |
|              4050 | 96 |   RUNNING |   WAITING |
|              4050 | 75 |     READY |   RUNNING |
|              4062 | 75 |   RUNNING |TERMINATED |
|              4069 | 96 |   WAITING |     READY |
|              4069 | 96 |     READY |   RUNNING |
|              4168 | 96 |   RUNNING |   WAITING |
|              4187 | 96 |   WAITING |     READY |
|              4187 | 96 |     READY |   RUNNING |
|              4286 | 96 |   RUNNING |   WAITING |
|              4305 | 96 |   WAITING |     READY |
|              4305 | 96 |     READY |   RUNNING |
|              4404 | 96 |   RUNNING |   WAITING |
|              4423 | 96 |   WAITING |     READY |
|              4423 | 96 |     READY |   RUNNING |
|              4522 | 96 |   RUNNING |   WAITING |
|              4541 | 96 |   WAITING |     READY |
|              4541 | 96 |     READY |   RUNNING |
|              4640 | 96 |   RUNNING |   WAITING |
|              4659 | 96 |   WAITING |     READY |
|              4659 | 96 |     READY |   RUNNING |
|              4758 | 96 |   RUNNING |   WAITING |
|              4777 | 96 |   WAITING |     READY |
|              4777 | 96 |     READY |   RUNNING |
|              4876 | 96 |   RUNNING |   WAITING |
|              4895 | 96 |   WAITING |     READY |
|              4895 | 96 |     READY |   RUNNING |
|              4940 | 96 |   RUNNING |TERMINATED |
+------------------------------------------------+
Throughput: 4940
Average response time: 1632.333374
Average turnaround time: 3098.666748
Average wait time: 2098.666748
