+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 54 |       NEW |     READY |
|                 0 | 54 |     READY |   RUNNING |
|                 4 | 14 |       NEW |     READY |
|                21 | 54 |   RUNNING |   WAITING |
|                21 | 14 |     READY |   RUNNING |
|                29 | 14 |   RUNNING |   WAITING |
|                38 | 23 |       NEW |     READY |
|                38 | 23 |     READY |   RUNNING |
|                56 | 23 |   RUNNING |   WAITING |
|                69 | 60 |       NEW |     READY |
|                69 | 60 |     READY |   RUNNING |
|                71 | 12 |       NEW |     READY |
|                72 | 14 |   WAITING |     READY |
|                81 | 60 |   RUNNING |   WAITING |
|                81 | 12 |     READY |   RUNNING |
|                90 | 44 |       NEW |     READY |
|                94 | 54 |   WAITING |     READY |
|                98 | 12 |   RUNNING |   WAITING |
|                98 | 14 |     READY |   RUNNING |
|               106 | 14 |   RUNNING |   WAITING |
|               106 | 44 |     READY |   RUNNING |
|               117 | 44 |   RUNNING |   WAITING |
|               117 | 54 |     READY |   RUNNING |
|               126 | 23 |   WAITING |     READY |
|               138 | 54 |   RUNNING |   WAITING |
|               138 | 23 |     READY |   RUNNING |
|               139 | 60 |   WAITING |     READY |
|               149 | 14 |   WAITING |     READY |
|               156 | 23 |   RUNNING |   WAITING |
|               156 | 60 |     READY |   RUNNING |
|               157 | 44 |   WAITING |     READY |
|               168 | 60 |   RUNNING |   WAITING |
|               168 | 14 |     READY |   RUNNING |
|               175 | 12 |   WAITING |     READY |
|               176 | 14 |   RUNNING |   WAITING |
|               176 | 44 |     READY |   RUNNING |
|               187 | 44 |   RUNNING |   WAITING |
|               187 | 12 |     READY |   RUNNING |
|               204 | 12 |   RUNNING |   WAITING |
|               211 | 54 |   WAITING |     READY |
|               211 | 54 |     READY |   RUNNING |
|               219 | 14 |   WAITING |     READY |
|               226 | 23 |   WAITING |     READY |
|               226 | 60 |   WAITING |     READY |
|               227 | 44 |   WAITING |     READY |
|               232 | 54 |   RUNNING |   WAITING |
|               232 | 14 |     READY |   RUNNING |
|               240 | 14 |   RUNNING |   WAITING |
|               240 | 23 |     READY |   RUNNING |
|               258 | 23 |   RUNNING |   WAITING |
|               258 | 60 |     READY |   RUNNING |
|               270 | 60 |   RUNNING |   WAITING |
|               270 | 44 |     READY |   RUNNING |
|               281 | 12 |   WAITING |     READY |
|               281 | 44 |   RUNNING |   WAITING |
|               281 | 12 |     READY |   RUNNING |
|               283 | 14 |   WAITING |     READY |
|               298 | 12 |   RUNNING |   WAITING |
|               298 | 14 |     READY |   RUNNING |
|               305 | 54 |   WAITING |     READY |
|               306 | 14 |   RUNNING |   WAITING |
|               306 | 54 |     READY |   RUNNING |
|               321 | 44 |   WAITING |     READY |
|               327 | 54 |   RUNNING |   WAITING |
|               327 | 44 |     READY |   RUNNING |
|               328 | 23 |   WAITING |     READY |
|               328 | 60 |   WAITING |     READY |
|               338 | 44 |   RUNNING |   WAITING |
|               338 | 23 |     READY |   RUNNING |
|               349 | 14 |   WAITING |     READY |
|               356 | 23 |   RUNNING |   WAITING |
|               356 | 60 |     READY |   RUNNING |
|               368 | 60 |   RUNNING |   WAITING |
|               368 | 14 |     READY |   RUNNING |
|               375 | 12 |   WAITING |     READY |
|               376 | 14 |   RUNNING |   WAITING |
|               376 | 12 |     READY |   RUNNING |
|               378 | 44 |   WAITING |     READY |
|               393 | 12 |   RUNNING |   WAITING |
|               393 | 44 |     READY |   RUNNING |
|               400 | 54 |   WAITING |     READY |
|               404 | 44 |   RUNNING |   WAITING |
|               404 | 54 |     READY |   RUNNING |
|               419 | 14 |   WAITING |     READY |
|               425 | 54 |   RUNNING |   WAITING |
|               425 | 14 |     READY |   RUNNING |
|               426 | 23 |   WAITING |     READY |
|               426 | 60 |   WAITING |     READY |
|               433 | 14 |   RUNNING |   WAITING |
|               433 | 23 |     READY |   RUNNING |
|               444 | 44 |   WAITING |     READY |
|               451 | 23 |   RUNNING |   WAITING |
|               451 | 60 |     READY |   RUNNING |
|               463 | 60 |   RUNNING |   WAITING |
|               463 | 44 |     READY |   RUNNING |
|               470 | 12 |   WAITING |     READY |
|               474 | 44 |   RUNNING |   WAITING |
|               474 | 12 |     READY |   RUNNING |
|               476 | 14 |   WAITING |     READY |
|               491 | 12 |   RUNNING |   WAITING |
|               491 | 14 |     READY |   RUNNING |
|               498 | 54 |   WAITING |     READY |
|               499 | 14 |   RUNNING |   WAITING |
|               499 | 54 |     READY |   RUNNING |
|               514 | 44 |   WAITING |     READY |
|               520 | 54 |   RUNNING |   WAITING |
|               520 | 44 |     READY |   RUNNING |
|               521 | 23 |   WAITING |     READY |
|               521 | 60 |   WAITING |     READY |
|               531 | 44 |   RUNNING |   WAITING |
|               531 | 23 |     READY |   RUNNING |
|               542 | 14 |   WAITING |     READY |
|               549 | 23 |   RUNNING |   WAITING |
|               549 | 60 |     READY |   RUNNING |
|               561 | 60 |   RUNNING |   WAITING |
|               561 | 14 |     READY |   RUNNING |
|               568 | 12 |   WAITING |     READY |
|               569 | 14 |   RUNNING |   WAITING |
|               569 | 12 |     READY |   RUNNING |
|               571 | 44 |   WAITING |     READY |
|               586 | 12 |   RUNNING |   WAITING |
|               586 | 44 |     READY |   RUNNING |
|               593 | 54 |   WAITING |     READY |
|               597 | 44 |   RUNNING |   WAITING |
|               597 | 54 |     READY |   RUNNING |
|               612 | 14 |   WAITING |     READY |
|               618 | 54 |   RUNNING |   WAITING |
|               618 | 14 |     READY |   RUNNING |
|               619 | 23 |   WAITING |     READY |
|               619 | 60 |   WAITING |     READY |
|               626 | 14 |   RUNNING |   WAITING |
|               626 | 23 |     READY |   RUNNING |
|               637 | 44 |   WAITING |     READY |
|               644 | 23 |   RUNNING |   WAITING |
|               644 | 60 |     READY |   RUNNING |
|               656 | 60 |   RUNNING |   WAITING |
|               656 | 44 |     READY |   RUNNING |
|               663 | 12 |   WAITING |     READY |
|               667 | 44 |   RUNNING |   WAITING |
|               667 | 12 |     READY |   RUNNING |
|               669 | 14 |   WAITING |     READY |
|               684 | 12 |   RUNNING |   WAITING |
|               684 | 14 |     READY |   RUNNING |
|               691 | 54 |   WAITING |     READY |
|               692 | 14 |   RUNNING |   WAITING |
|               692 | 54 |     READY |   RUNNING |
|               707 | 44 |   WAITING |     READY |
|               713 | 54 |   RUNNING |   WAITING |
|               713 | 44 |     READY |   RUNNING |
|               714 | 23 |   WAITING |     READY |
|               714 | 60 |   WAITING |     READY |
|               724 | 44 |   RUNNING |   WAITING |
|               724 | 23 |     READY |   RUNNING |
|               735 | 14 |   WAITING |     READY |
|               742 | 23 |   RUNNING |   WAITING |
|               742 | 60 |     READY |   RUNNING |
|               754 | 60 |   RUNNING |   WAITING |
|               754 | 14 |     READY |   RUNNING |
|               761 | 12 |   WAITING |     READY |
|               762 | 14 |   RUNNING |   WAITING |
|               762 | 12 |     READY |   RUNNING |
|               764 | 44 |   WAITING |     READY |
|               779 | 12 |   RUNNING |   WAITING |
|               779 | 44 |     READY |   RUNNING |
|               786 | 54 |   WAITING |     READY |
|               790 | 44 |   RUNNING |   WAITING |
|               790 | 54 |     READY |   RUNNING |
|               805 | 14 |   WAITING |     READY |
|               811 | 54 |   RUNNING |   WAITING |
|               811 | 14 |     READY |   RUNNING |
|               812 | 23 |   WAITING |     READY |
|               812 | 60 |   WAITING |     READY |
|               819 | 14 |   RUNNING |   WAITING |
|               819 | 23 |     READY |   RUNNING |
|               830 | 44 |   WAITING |     READY |
|               837 | 23 |   RUNNING |   WAITING |
|               837 | 60 |     READY |   RUNNING |
|               849 | 60 |   RUNNING |   WAITING |
|               849 | 44 |     READY |   RUNNING |
|               856 | 12 |   WAITING |     READY |
|               860 | 44 |   RUNNING |   WAITING |
|               860 | 12 |     READY |   RUNNING |
|               862 | 14 |   WAITING |     READY |
|               877 | 12 |   RUNNING |   WAITING |
|               877 | 14 |     READY |   RUNNING |
|               884 | 54 |   WAITING |     READY |
|               885 | 14 |   RUNNING |   WAITING |
|               885 | 54 |     READY |   RUNNING |
|               900 | 44 |   WAITING |     READY |
|               906 | 54 |   RUNNING |   WAITING |
|               906 | 44 |     READY |   RUNNING |
|               907 | 23 |   WAITING |     READY |
|               907 | 60 |   WAITING |     READY |
|               917 | 44 |   RUNNING |   WAITING |
|               917 | 23 |     READY |   RUNNING |
|               928 | 14 |   WAITING |     READY |
|               935 | 23 |   RUNNING |   WAITING |
|               935 | 60 |     READY |   RUNNING |
|               947 | 60 |   RUNNING |   WAITING |
|               947 | 14 |     READY |   RUNNING |
|               954 | 12 |   WAITING |     READY |
|               955 | 14 |   RUNNING |   WAITING |
|               955 | 12 |     READY |   RUNNING |
|               957 | 44 |   WAITING |     READY |
|               972 | 12 |   RUNNING |   WAITING |
|               972 | 44 |     READY |   RUNNING |
|               979 | 54 |   WAITING |     READY |
