+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |         -1 |           430 |       READY |
+-----------------------------------------------------------------------------------+
time: 16; Process 18: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
+-----------------------------------------------------------------------------------+
time: 22; Process 15: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
|  15 |          1 |   33 |           22 |         -1 |           352 |       READY |
+-----------------------------------------------------------------------------------+
time: 22; Process 33: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
|  15 |          1 |   33 |           22 |         -1 |           352 |       READY |
|  33 |          3 |    8 |           22 |         -1 |           329 |       READY |
+-----------------------------------------------------------------------------------+
time: 23; Process 68: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
|  15 |          1 |   33 |           22 |         -1 |           352 |       READY |
|  33 |          3 |    8 |           22 |         -1 |           329 |       READY |
|  68 |          2 |   21 |           23 |         -1 |           498 |       READY |
+-----------------------------------------------------------------------------------+
time: 1105; Process 4: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1065 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1011 |           393 |       READY |
|  15 |          1 |   33 |           22 |        844 |            60 |     WAITING |
|  33 |          3 |    8 |           22 |       1035 |           209 |     WAITING |
|  68 |          2 |   21 |           23 |        944 |           331 |     WAITING |
+-----------------------------------------------------------------------------------+
time: 1265; Process 15: Terminated
+-----------------------------------------------------------------------------------+
