+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |         -1 |           430 |       READY |
+-----------------------------------------------------------------------------------+
time: 16; Process 18: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
+-----------------------------------------------------------------------------------+
time: 22; Process 15: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
|  15 |          1 |   33 |           22 |         -1 |           352 |       READY |
+-----------------------------------------------------------------------------------+
time: 22; Process 33: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
|  15 |          1 |   33 |           22 |         -1 |           352 |       READY |
|  33 |          3 |    8 |           22 |         -1 |           329 |       READY |
+-----------------------------------------------------------------------------------+
time: 23; Process 68: Arrived
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |          0 |           430 |     RUNNING |
|  18 |          4 |   10 |           16 |         -1 |           489 |       READY |
|  15 |          1 |   33 |           22 |         -1 |           352 |       READY |
|  33 |          3 |    8 |           22 |         -1 |           329 |       READY |
|  68 |          2 |   21 |           23 |         -1 |           498 |       READY |
+-----------------------------------------------------------------------------------+
time: 1492; Process 15: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |          5 |    7 |            0 |       1334 |            40 |     WAITING |
|  18 |          4 |   10 |           16 |       1408 |           297 |       READY |
|  15 |         -1 |   33 |           22 |       1432 |             0 |  TERMINATED |
|  33 |          3 |    8 |           22 |       1378 |           119 |       READY |
|  68 |          2 |   21 |           23 |       1213 |           164 |     WAITING |
+-----------------------------------------------------------------------------------+
time: 1686; Process 4: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
